election_year,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,AYAN MANDAL,Male,30,GEN,AITC,Flowers and Grass,1717,4,1721,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Male,52,GEN,INC,Hand,95249,59,95308,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Male,43,SC,BSP,Elephant,2478,8,2486,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,Male,46,GEN,BJP,Lotus,93772,129,93901,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Male,49,GEN,AAAP,Broom,2837,2,2839,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,Male,48,GEN,AINHCP,Tractor Chalata Kisan,212,0,212,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,K KALIMUTHU,Male,66,GEN,IND,Television,269,6,275,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Male,51,GEN,IND,Basket containing Fruits,305,1,306,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Male,51,GEN,IND,Auto- Rickshaw,221,0,221,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,PARITOSH KUMAR HALDAR,Male,61,GEN,IND,Helicopter,5339,2,5341,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,MINATI BISWAS,Female,51,GEN,IND,Camera,615,3,618,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,C U RASHEED,Male,34,GEN,IND,Battery Torch,272,1,273,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,Male,45,GEN,IND,Glass Tumbler,914,0,914,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,S SUDERSHAN RAO,Male,58,GEN,IND,Boat with Man and Sail,475,0,475,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,HENRY,Male,50,GEN,IND,COCONUT FARM,994,0,994,318471
2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,,,,NOTA,NOTA,1411,1,1412,318471
2019,Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,Male,72,ST,TDP,Bicycle,336163,1938,338101,1451418
2019,Andhra Pradesh,Aruku ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Male,54,ST,BJP,Lotus,17578,289,17867,1451418
2019,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,Female,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,1451418
2019,Andhra Pradesh,Aruku ,SHRUTI DEVI VYRICHERLA,Female,46,ST,INC,Hand,17656,74,17730,1451418
2019,Andhra Pradesh,Aruku ,GANGULAIAH VAMPURU.,Male,49,ST,JnP,Glass Tumbler,42245,549,42794,1451418
2019,Andhra Pradesh,Aruku ,SWAMULA. SUBRAHMANYAM,Male,50,ST,JAJGP,Mike,4705,5,4710,1451418
2019,Andhra Pradesh,Aruku ,ANUMULA VAMSIKRISHNA,Male,41,ST,IND,Helicopter,10211,29,10240,1451418
2019,Andhra Pradesh,Aruku ,KANGALA BALUDORA,Male,61,ST,IND,Cup & Saucer,13810,16,13826,1451418
2019,Andhra Pradesh,Aruku ,NARAVA SATYAVATHI,Female,37,ST,IND,Bangles,11231,5,11236,1451418
2019,Andhra Pradesh,Aruku ,BIDDIKA RAMAYYA.,Male,57,ST,IND,Battery Torch,7863,4,7867,1451418
2019,Andhra Pradesh,Aruku ,NOTA,,,,NOTA,NOTA,47955,22,47977,1451418
2019,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,Male,32,GEN,TDP,Bicycle,529213,5331,534544,1553860
2019,Andhra Pradesh,Srikakulam,DOLA JAGAN,Male,53,GEN,INC,Hand,13456,289,13745,1553860
2019,Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,Male,52,GEN,YSRCP,Ceiling Fan,520931,6960,527891,1553860
2019,Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,Male,58,GEN,BJP,Lotus,7357,1033,8390,1553860
2019,Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,Male,37,GEN,PPOI,FLUTE,1441,7,1448,1553860
2019,Andhra Pradesh,Srikakulam,METTA RAMARAO,Male,53,GEN,JnP,Glass Tumbler,31319,637,31956,1553860
2019,Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,Male,44,GEN,IND,Electric Pole,4829,7,4836,1553860
2019,Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,Male,35,GEN,IND,Helicopter,5151,5,5156,1553860
2019,Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,Male,33,GEN,IND,Football,3814,4,3818,1553860
2019,Andhra Pradesh,Srikakulam,NOTA,,,,NOTA,NOTA,25500,45,25545,1553860
2019,Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,Male,67,GEN,TDP,Bicycle,527307,3075,530382,1503980
2019,Andhra Pradesh,Vizianagaram,Adiraju Yedla,Male,52,GEN,INC,Hand,15607,118,15725,1503980
2019,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,Male,57,GEN,YSRCP,Ceiling Fan,573466,4952,578418,1503980
2019,Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,Male,60,GEN,BJP,Lotus,6902,364,7266,1503980
2019,Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,Male,55,GEN,SAPRP,Electric Pole,4981,2,4983,1503980
2019,Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,Male,28,GEN,ACP,Tooth Brush,1261,2,1263,1503980
2019,Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,Male,39,GEN,JnP,Glass Tumbler,33779,413,34192,1503980
2019,Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,Male,39,GEN,JAJGP,Mike,787,4,791,1503980
2019,Andhra Pradesh,Vizianagaram,Surya Bhavani. K,Female,38,GEN,PPOI,FLUTE,822,8,830,1503980
2019,Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,Male,37,SC,IND,Gas Cylinder,1010,0,1010,1503980
2019,Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,Male,29,GEN,IND,Matchbox,1172,4,1176,1503980
2019,Andhra Pradesh,Vizianagaram,Pentapati Rajesh,Male,39,GEN,IND,Battery Torch,1461,1,1462,1503980
2019,Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,Male,47,GEN,IND,Coat,4550,3,4553,1503980
2019,Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,Male,52,GEN,IND,Sitar,6336,2,6338,1503980
2019,Andhra Pradesh,Vizianagaram,NOTA,,,,NOTA,NOTA,29468,33,29501,1503980
2019,Andhra Pradesh,Visakhapatnam,DAGGUBATI PURANDESWARI,Female,58,GEN,BJP,Lotus,33430,462,33892,1829300
2019,Andhra Pradesh,Visakhapatnam,PEDADA. RAMANIKUMARI,Female,48,GEN,INC,Hand,14550,83,14633,1829300
2019,Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,Male,29,GEN,TDP,Bicycle,431093,1399,432492,1829300
2019,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,Male,52,GEN,YSRCP,Ceiling Fan,433968,2938,436906,1829300
2019,Andhra Pradesh,Visakhapatnam,GEORGE BANGARI,Male,46,SC,VCK,Stool,3027,1,3028,1829300
2019,Andhra Pradesh,Visakhapatnam,B. JAYA VENU GOPAL,Male,30,GEN,PPOI,FLUTE,1622,5,1627,1829300
2019,Andhra Pradesh,Visakhapatnam,V.V. LAKSHMI NARAYANA,Male,53,GEN,JnP,Glass Tumbler,287072,1802,288874,1829300
2019,Andhra Pradesh,Visakhapatnam,ANMISH VARMA,Male,26,GEN,IND,Bat,1904,11,1915,1829300
2019,Andhra Pradesh,Visakhapatnam,R. UDAYA GOWRI,Female,44,GEN,IND,DIAMOND,1384,0,1384,1829300
2019,Andhra Pradesh,Visakhapatnam,KOTHAPALLI GEETHA,Female,48,GEN,IND,Mike,1155,3,1158,1829300
2019,Andhra Pradesh,Visakhapatnam,GAMPALA SOMASUNDARAM,Male,76,GEN,IND,COCONUT FARM,1127,1,1128,1829300
2019,Andhra Pradesh,Visakhapatnam,GANNU MALLAYYA,Male,70,GEN,IND,Ganna Kisan,1311,2,1313,1829300
2019,Andhra Pradesh,Visakhapatnam,DURGAPRASAD. GUNTU,Male,51,GEN,IND,Letter Box,2463,1,2464,1829300
2019,Andhra Pradesh,Visakhapatnam,PULAPAKA RAJA SEKHAR,Male,40,GEN,IND,Gas Cylinder,2294,0,2294,1829300
2019,Andhra Pradesh,Visakhapatnam,NOTA,,,,NOTA,NOTA,16626,20,16646,1829300
2019,Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,Male,43,GEN,TDP,Bicycle,495381,1653,497034,1521363
2019,Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Male,65,GEN,BJP,Lotus,12888,388,13276,1521363
